Source,Target
"Landicho, Leila D.","Castillo, Arnold Karl A."
"Tanguid, Leon B.","Untalan, Paquito P."
"Tanguid, Leon B.","Ligat, Bonie S."
"Tanguid, Leon B.","Pagadan, Casiano S."
"Layaoen, Heathel","Pablo, Janet P."
"Layaoen, Heathel","Clerget Benoît, Egle Rohilyn B."
"Layaoen, Heathel","Sunio, Domingo Abigail J."
"Layaoen, Heathel",Loren Dionora J.
"Layaoen, Heathel",Sta Cruz Pompe C.
"Franco, Jenner A.","Daipan, Bernard Peter O."
"Garcia, Jose Nestor M.","Pablo, Janet P."
"Garcia, Jose Nestor M.","Medina, Simplicio M."
"Jang, Mina","Kim, Sung Yong"
"Jang, Mina","Lumbres, Roscinto Ian"
"Jang, Mina","Lee, Sun Joo"
"Jang, Mina","Lee, Byungdoo"
"Jang, Mina","Lee, Young Jin"
"Samuel, Freda Kate D.","Dolipas, Bretel B."
"Samuel, Freda Kate D.","Pakipac, Kenneth B."
"Dolipas, Bretel B.","Buasen, Julie A."
"Dolipas, Bretel B.","Lubrica, Maria Azucena B."
"Dolipas, Bretel B.","Pakipac, Kenneth B."
"Dolipas, Bretel B.","Sajise, Marycel T."
"Dolipas, Bretel B.","Valentin, Precious M."
"Dolipas, Bretel B.","Ramos, Jennifer Lyn S."
"Dolipas, Bretel B.","Madinno, Carmelo"
"Dolipas, Bretel B.","Fulwani, Danni Loven"
"Dolipas, Bretel B.","Lubrica, Joel V."
"Dolipas, Bretel B.","Ramos, Jennifer Lyn"
"Dolipas, Bretel B.","Abiasen, Jovalson T."
"Fomeg-As, David Y.","Reyes, Gaudelia A."
"Fomeg-As, David Y.","Lasangen, Wileen Chiara T."
"Fomeg-As, David Y.","Anacin, Carljhonson"
"Labon, Kacy O.","Bedejim, Alima N."
"Labon, Kacy O.","Loncio, Rhea S."
"Labon, Kacy O.","Batani, Ruth S."
"Labon, Kacy O.","Galagal, Christita P."
"Ramos, Jennifer Lyn","Lubrica, Joel V."
"Ramos, Jennifer Lyn","Abiasen, Jovalson T."
"Ramos, Jennifer Lyn S.","Madinno, Carmelo"
"Ramos, Jennifer Lyn S.","Fulwani, Danni Loven"
"Ramos, Jennifer Lyn S.","Lubrica, Joel V."
"Ramos, Jennifer Lyn S.","Abiasen, Jovalson T."
"Buot Jr., Inocencio E.","Napadlet, Jones T."
"Buot Jr., Inocencio E.","Zafaralla, Macrina T."
"Buot Jr., Inocencio E.","Lit Jr., Ireneo L."
"Buot Jr., Inocencio E.","Sotto, Rachel C."
"Feliciano, Esper L.","Lubrica, Percyveranda A."
"Feliciano, Esper L.","Botengan, Desiree F."
"Feliciano, Esper L.","Manas, Froilan B."
"Feliciano, Esper L.","Belleza, Jorenz A"
"Cervantes, Starleene S.","Napadlet, Jones T."
"Castillo, Arturo Sa.","Bao-Idang, Conrado C."
"Castillo, Arturo Sa.","Visco, Roberto G."
"Castillo, Arturo Sa.","Carandang, Wilfredo M."
"Castillo, Arturo Sa.","Pampolina, Nelson M."
"Abadillos, Mg","Laruan, Kenneth A."
"Abadillos, Mg","Landicho, Ld"
"Abadillos, Mg","Cabahug, Red"
"Abadillos, Mg","Cosico, Rsa"
"Abadillos, Mg","Castillo, Aka"
"Abadillos, Mg","Ramirez, Majp"
"Anacin, Carljhonson","Reyes, Gaudelia A."
"Anacin, Carljhonson","Lasangen, Wileen Chiara T."
"Lumiquio, Arsenia M.","Bestre, Erlinda"
"Lumiquio, Arsenia M.","Napadlet, Jones T."
"Lasangen, Wileen Chiara T.","Reyes, Gaudelia A."
"Sajise, Marycel T.","Buasen, Julie A."
"Sajise, Marycel T.","Lubrica, Maria Azucena B."
"Sajise, Marycel T.","Pakipac, Kenneth B."
"Sajise, Marycel T.","Valentin, Precious M."
"Sajise, Marycel T.","Besic, Elvira"
"Sajise, Marycel T.","Daipan, Bernard Peter O."
"Sajise, Marycel T.","Matso, Nover M."
"Alfonso, Gerry P.","Laruan, Kenneth A."
"Reyes, Gaudelia A.","Abiasen, Jovalson T."
"Lit Jr., Ireneo L.","Napadlet, Jones T."
"Lit Jr., Ireneo L.","Zafaralla, Macrina T."
"Lit Jr., Ireneo L.","Sotto, Rachel C."
"Castillo, Arnold Karl A.","Laruan, Kenneth A."
"Castillo, Arnold Karl A.","Baliton, Romnick S."
"Castillo, Arnold Karl A.","Cabahug, Rowena Esperanza D."
"Castillo, Arnold Karl A.","Paelmo, Roselyn F."
"Castillo, Arnold Karl A.","Rodriguez, Ramil S."
"Castillo, Arnold Karl A.","Visco, Roberto G."
"Fernandez-Docallas, Froidelyn","Batani, Ruth S."
"Vicente, Gina D.","Bacate, Margarette M."
"Vicente, Gina D.","Butag, Jackson L."
"Vicente, Gina D.","Ladoan, Sheinalene M."
"Vicente, Gina D.","Napadlet, Jones T."
"Dulay, Alvin C.","Valentin, Marvin T."
"Dulay, Alvin C.","Smeets, Alex"
"Dulay, Alvin C.","Ciolkosz, Daniel E."
"Dulay, Alvin C.","Onalan, Milagros B."
"Dulay, Alvin C.","Sudaypan Sr., Constantino T."
"Dulay, Alvin C.","Galad, Marlon N."
"Dulay, Alvin C.","Suclad, Roger Lee M."
"Dulay, Alvin C.","Pagnas, Keithlern M."
"Dulay, Alvin C.","Meana, Vanessa Rose L."
"Dulay, Alvin C.","Kimkiman, Nazer Sarapeo P."
"Suclad, Roger Lee M.","Valentin, Marvin T."
"Suclad, Roger Lee M.","Smeets, Alex"
"Suclad, Roger Lee M.","Ciolkosz, Daniel E."
"Suclad, Roger Lee M.","Onalan, Milagros B."
"Suclad, Roger Lee M.","Sudaypan Sr., Constantino T."
"Suclad, Roger Lee M.","Galad, Marlon N."
"Suclad, Roger Lee M.","Pagnas, Keithlern M."
"Lubrica, Percyveranda A.","Botengan, Desiree F."
"Lubrica, Percyveranda A.","Manas, Froilan B."
"Lubrica, Percyveranda A.","Parcasio, Imelda G."
"Lubrica, Percyveranda A.","Cuevas, Jingle P."
"Lubrica, Percyveranda A.","Alvaro, Manolita N."
"Lubrica, Percyveranda A.","Gallardo, Alma Vida G."
"Lubrica, Percyveranda A.","Batani, Ruth S."
Loren Dionora J.,"Pablo, Janet P."
Loren Dionora J.,"Clerget Benoît, Egle Rohilyn B."
Loren Dionora J.,"Sunio, Domingo Abigail J."
Loren Dionora J.,Sta Cruz Pompe C.
"Matso, Nover M.","Besic, Elvira"
"Matso, Nover M.","Daipan, Bernard Peter O."
"Sotto, Rachel C.","Napadlet, Jones T."
"Sotto, Rachel C.","Zafaralla, Macrina T."
"Joo, Sung-Hyun","Lumbres, Roscinto Ian C."
"Alawas, Dolores E.","Bansiong, Apler J."
"Alawas, Dolores E.","Bokilis, Almon B."
"Alawas, Dolores E.","Cuevas, Jingle P."
"Alawas, Dolores E.","Parcasio, Imelda G."
"Doyog, Nova D.","Lee, Young Jin"
"Doyog, Nova D.","Lin, Chinsu"
"Doyog, Nova D.","Lumbres, Roscinto Ian C."
"Doyog, Nova D.","Daipan, Bernard Peter O."
"Doyog, Nova D.","Bayer, Derek C."
"Doyog, Nova D.","Parian, Christine P."
"Doyog, Nova D.","Son, Yeong Mo"
"Doyog, Nova D.","Anacioco, Kamae P."
"Doyog, Nova D.","Gorio, Judy Ann L."
"Doyog, Nova D.","Lee, Sun Joo"
"Doyog, Nova D.","Kang, Jin Taek"
"Doyog, Nova D.","Kim, Sung Yong"
"Doyog, Nova D.","Calora Jr., Feliciano G."
"Doyog, Nova D.","Pampolina, Nelson M."
"Doyog, Nova D.","Gamboa, Michelle D."
"Doyog, Nova D.","Chichioco, Dante S."
"Doyog, Nova D.","Lee, Young Jin Lee"
"Doyog, Nova D.","Lee, Young Ji"
"Doyog, Nova D.","Baoanan, Zenaida G."
"Abiasen, Jovalson T.","Lubrica, Joel V."
"Abiasen, Jovalson T.","Dolipas,Bretel B."
"Abiasen, Jovalson T.","Ramos , Jennifer Lyn S."
"Meana, Vanessa Rose L.","Kimkiman, Nazer Sarapeo P."
"Cosico, Rsa","Laruan, Kenneth A."
"Cosico, Rsa","Landicho, Ld"
"Cosico, Rsa","Cabahug, Red"
"Cosico, Rsa","Castillo, Aka"
"Cosico, Rsa","Ramirez, Majp"
"Zafaralla, Macrina T.","Napadlet, Jones T."
"Visco, Roberto G.","Laruan, Kenneth A."
"Visco, Roberto G.","Baliton, Romnick S."
"Visco, Roberto G.","Cabahug, Rowena Esperanza D."
"Visco, Roberto G.","Paelmo, Roselyn F."
"Visco, Roberto G.","Rodriguez, Ramil S."
"Visco, Roberto G.","Bao-Idang, Conrado C."
"Visco, Roberto G.","Carandang, Wilfredo M."
"Visco, Roberto G.","Pampolina, Nelson M."
"Batani, Ruth S.","Napadlet, Jones T."
"Batani, Ruth S.","Sa-Ao, Beverly C."
"Batani, Ruth S.","Manao, Kristerlyne S."
"Batani, Ruth S.","Altaki, Mary An J."
"Batani, Ruth S.","Faroden, Joel C."
"Batani, Ruth S.","Hudson, Gretchen Shagami M."
"Batani, Ruth S.","Tagarino, Darlyn D."
"Batani, Ruth S.","Bedejim, Alima N."
"Batani, Ruth S.","Loncio, Rhea S."
"Batani, Ruth S.","Parcasio, Imelda G."
"Batani, Ruth S.","Cuevas, Jingle P."
"Batani, Ruth S.","Alvaro, Manolita N."
"Batani, Ruth S.","Gallardo, Alma Vida G."
"Batani, Ruth S.","Galagal, Christita P."
"Pablo, Janet P.","Clerget Benoît, Egle Rohilyn B."
"Pablo, Janet P.","Sunio, Domingo Abigail J."
"Pablo, Janet P.",Sta Cruz Pompe C.
"Pablo, Janet P.","Medina, Simplicio M."
"Besic, Elvira","Daipan, Bernard Peter O."
"Lumbres, Roscinto Ian","Kim, Sung Yong"
"Lumbres, Roscinto Ian","Lee, Sun Joo"
"Lumbres, Roscinto Ian","Lee, Byungdoo"
"Lumbres, Roscinto Ian","Lee, Young Jin"
"Lumbres, Roscinto Ian","Pyo, Ung Kee"
"Lumbres, Roscinto Ian","Son, Yeong Mo"
"Lumbres, Roscinto Ian","Lee, Kyeong Hak"
"Kim, Sung Yong","Lee, Sun Joo"
"Kim, Sung Yong","Lee, Byungdoo"
"Kim, Sung Yong","Lee, Young Jin"
"Kim, Sung Yong","Kang, Jin Taek"
"Bansiong, Apler J.","Balagtey, Janet Lynn M."
"Bansiong, Apler J.","Botengan, Desiree F."
"Bansiong, Apler J.","Kudan, Rosita B."
"Bansiong, Apler J.","Bokilis, Almon B."
"Bansiong, Apler J.","Cuevas, Jingle P."
"Bansiong, Apler J.","Parcasio, Imelda G."
"Kudan, Rosita B.","Botengan, Desiree F."
"Lee, Sun Joo","Lee, Byungdoo"
"Lee, Sun Joo","Lee, Young Jin"
"Lee, Sun Joo","Kang, Jin Taek"
"Sunio, Domingo Abigail J.","Clerget Benoît, Egle Rohilyn B."
"Sunio, Domingo Abigail J.",Sta Cruz Pompe C.
"Lumpio, Rey G.","Guron, Maricel A."
"Lumpio, Rey G.","Napadlet, Jones T."
"Lee, Young Jin","Lin, Chinsu"
"Lee, Young Jin","Lumbres, Roscinto Ian C."
"Lee, Young Jin","Daipan, Bernard Peter O."
"Lee, Young Jin","Bayer, Derek C."
"Lee, Young Jin","Parian, Christine P."
"Lee, Young Jin","Son, Yeong Mo"
"Lee, Young Jin","Lee, Byungdoo"
"Lee, Young Jin","Pyo, Ung Kee"
"Lee, Young Jin","Lee, Kyeong Hak"
"Lee, Young Jin","Anacioco, Kamae P."
"Lee, Young Jin","Gorio, Judy Ann L."
"Lee, Young Jin","Kang, Jin Taek"
"Lee, Young Jin","Calora Jr., Feliciano G."
"Lee, Young Jin","Pampolina, Nelson M."
"Lee, Young Jin","Gamboa, Michelle D."
"Lee, Young Jin","Chichioco, Dante S."
"Napadlet, Jones T.","Guron, Maricel A."
"Napadlet, Jones T.","Bestre, Erlinda"
"Napadlet, Jones T.","Bacate, Margarette M."
"Napadlet, Jones T.","Butag, Jackson L."
"Napadlet, Jones T.","Ladoan, Sheinalene M."
"Bacate, Margarette M.","Butag, Jackson L."
"Bacate, Margarette M.","Ladoan, Sheinalene M."
"Angeles, Yolanda B.","Luis, Janet S."
"Onalan, Milagros B.","Valentin, Marvin T."
"Onalan, Milagros B.","Smeets, Alex"
"Onalan, Milagros B.","Ciolkosz, Daniel E."
"Onalan, Milagros B.","Sudaypan Sr., Constantino T."
"Onalan, Milagros B.","Galad, Marlon N."
"Onalan, Milagros B.","Pagnas, Keithlern M."
"Ladoan, Sheinalene M.","Butag, Jackson L."
"Baliton, Romnick S.","Laruan, Kenneth A."
"Baliton, Romnick S.","Cabahug, Rowena Esperanza D."
"Baliton, Romnick S.","Paelmo, Roselyn F."
"Baliton, Romnick S.","Rodriguez, Ramil S."
"Lubrica, Joel V.","Dolipas,Bretel B."
"Lubrica, Joel V.","Ramos , Jennifer Lyn S."
"Lubrica, Joel V.","Wadasen, Russel Fits P."
"Pagnas, Keithlern M.","Valentin, Marvin T."
"Pagnas, Keithlern M.","Smeets, Alex"
"Pagnas, Keithlern M.","Ciolkosz, Daniel E."
"Pagnas, Keithlern M.","Sudaypan Sr., Constantino T."
"Pagnas, Keithlern M.","Galad, Marlon N."
"Ciolkosz, Daniel E.","Valentin, Marvin T."
"Ciolkosz, Daniel E.","Smeets, Alex"
"Ciolkosz, Daniel E.","Sudaypan Sr., Constantino T."
"Ciolkosz, Daniel E.","Galad, Marlon N."
"Valentin, Marvin T.","Smeets, Alex"
"Valentin, Marvin T.","Sudaypan Sr., Constantino T."
"Valentin, Marvin T.","Galad, Marlon N."
"Daipan, Bernard Peter O.","Lin, Chinsu"
"Daipan, Bernard Peter O.","Lumbres, Roscinto Ian C."
"Daipan, Bernard Peter O.","Bayer, Derek C."
"Daipan, Bernard Peter O.","Parian, Christine P."
"Untalan, Paquito P.","Ligat, Bonie S."
"Untalan, Paquito P.","Pagadan, Casiano S."
"Paelmo, Roselyn F.","Laruan, Kenneth A."
"Paelmo, Roselyn F.","Cabahug, Rowena Esperanza D."
"Paelmo, Roselyn F.","Rodriguez, Ramil S."
"Son, Yeong Mo","Lumbres, Roscinto Ian C."
"Son, Yeong Mo","Pyo, Ung Kee"
"Son, Yeong Mo","Lee, Kyeong Hak"
"Cabahug, Red","Laruan, Kenneth A."
"Cabahug, Red","Landicho, Ld"
"Cabahug, Red","Castillo, Aka"
"Cabahug, Red","Ramirez, Majp"
"Landicho, Ld","Laruan, Kenneth A."
"Landicho, Ld","Castillo, Aka"
"Landicho, Ld","Ramirez, Majp"
"Loncio, Rhea S.","Bedejim, Alima N."
"Cuevas, Jingle P.","Parcasio, Imelda G."
"Cuevas, Jingle P.","Alvaro, Manolita N."
"Cuevas, Jingle P.","Gallardo, Alma Vida G."
"Cuevas, Jingle P.","Bokilis, Almon B."
"Bayer, Derek C.","Lin, Chinsu"
"Bayer, Derek C.","Lumbres, Roscinto Ian C."
"Bayer, Derek C.","Parian, Christine P."
"Baoanan, Zenaida G.","Lumbres, Roscinto Ian C."
"Sudaypan Sr., Constantino T.","Smeets, Alex"
"Sudaypan Sr., Constantino T.","Galad, Marlon N."
"Calora Jr., Feliciano G.","Lumbres, Roscinto Ian C."
"Calora Jr., Feliciano G.","Pampolina, Nelson M."
"Calora Jr., Feliciano G.","Gamboa, Michelle D."
"Calora Jr., Feliciano G.","Chichioco, Dante S."
"Rodriguez, Ramil S.","Laruan, Kenneth A."
"Rodriguez, Ramil S.","Cabahug, Rowena Esperanza D."
"Dolipas,Bretel B.","Ramos , Jennifer Lyn S."
"Manao, Kristerlyne S.","Sa-Ao, Beverly C."
"Manao, Kristerlyne S.","Altaki, Mary An J."
"Manao, Kristerlyne S.","Faroden, Joel C."
"Manao, Kristerlyne S.","Hudson, Gretchen Shagami M."
"Manao, Kristerlyne S.","Tagarino, Darlyn D."
"Galad, Marlon N.","Smeets, Alex"
"Parian, Christine P.","Lin, Chinsu"
"Parian, Christine P.","Lumbres, Roscinto Ian C."
"Lumbres, Roscinto Ian C.","Lin, Chinsu"
"Lumbres, Roscinto Ian C.","Anacioco, Kamae P."
"Lumbres, Roscinto Ian C.","Gorio, Judy Ann L."
"Lumbres, Roscinto Ian C.","Pampolina, Nelson M."
"Lumbres, Roscinto Ian C.","Gamboa, Michelle D."
"Lumbres, Roscinto Ian C.","Chichioco, Dante S."
"Lumbres, Roscinto Ian C.","Lee, Young Jin Lee"
"Lumbres, Roscinto Ian C.","Lee, Young Ji"
"Buasen, Julie A.","Lubrica, Maria Azucena B."
"Buasen, Julie A.","Pakipac, Kenneth B."
"Buasen, Julie A.","Valentin, Precious M."
"Castillo, Aka","Laruan, Kenneth A."
"Castillo, Aka","Ramirez, Majp"
"Gamboa, Michelle D.","Pampolina, Nelson M."
"Gamboa, Michelle D.","Chichioco, Dante S."
"Lubrica, Maria Azucena B.","Pakipac, Kenneth B."
"Lubrica, Maria Azucena B.","Valentin, Precious M."
"Faroden, Joel C.","Sa-Ao, Beverly C."
"Faroden, Joel C.","Altaki, Mary An J."
"Faroden, Joel C.","Hudson, Gretchen Shagami M."
"Faroden, Joel C.","Tagarino, Darlyn D."
"Pyo, Ung Kee","Lee, Kyeong Hak"
"Laruan, Kenneth A.","Cabahug, Rowena Esperanza D."
"Laruan, Kenneth A.","Ramirez, Majp"
"Ligat, Bonie S.","Pagadan, Casiano S."
"Botengan, Desiree F.","Manas, Froilan B."
"Alvaro, Manolita N.","Parcasio, Imelda G."
"Alvaro, Manolita N.","Gallardo, Alma Vida G."
"Carandang, Wilfredo M.","Bao-Idang, Conrado C."
"Carandang, Wilfredo M.","Pampolina, Nelson M."
"Sa-Ao, Beverly C.","Altaki, Mary An J."
"Sa-Ao, Beverly C.","Hudson, Gretchen Shagami M."
"Sa-Ao, Beverly C.","Tagarino, Darlyn D."
"Altaki, Mary An J.","Hudson, Gretchen Shagami M."
"Altaki, Mary An J.","Tagarino, Darlyn D."
"Gorio, Judy Ann L.","Anacioco, Kamae P."
"Aliping, Joanne B.","Parcasio, Imelda G."
"Valentin, Precious M.","Pakipac, Kenneth B."
"Chichioco, Dante S.","Pampolina, Nelson M."
"Hudson, Gretchen Shagami M.","Tagarino, Darlyn D."
"Clerget Benoît, Egle Rohilyn B.",Sta Cruz Pompe C.
"Gallardo, Alma Vida G.","Parcasio, Imelda G."
"Bao-Idang, Conrado C.","Pampolina, Nelson M."
"Bokilis, Almon B.","Parcasio, Imelda G."
