Source,Target
"Tabinas, Ria Jayne A.","Sotomil, Sol D."
"Tabinas, Ria Jayne A.","Besas, Jesebel R."
"Tabinas, Ria Jayne A.","Micabani, Neal Reggie"
"Tabinas, Ria Jayne A.","Torrejos, Sevetrim B."
"Tabinas, Ria Jayne A.","Esprela, Liezel T."
"Tabinas, Ria Jayne A.","Rodriguez, T."
"Relox, Paquito E.","Rodriguez, Bernandita T."
"Relox, Paquito E.","Ruelo, Felma E."
"Relox, Paquito E.","Sotomil, Sol D."
"Rodriguez, Bernandita T.","Ruelo, Felma E."
"Rodriguez, Bernandita T.","Sotomil, Sol D."
"Rodriguez, Bernandita T.","Tejada, Rosie Lynn P."
"Rodriguez, Bernandita T.","Delima, Shamae Ria R."
"Rodriguez, Bernandita T.","Somosot, Ian S."
"Ruelo, Felma E.","Sotomil, Sol D."
"Somosot, Ian S.","Dalumay, Melissa E."
"Benigno, Kenny Allan P.","Agod, Joena Marie M."
"Benigno, Kenny Allan P.","Diez, Maria Alyana A."
"Agod, Joena Marie M.","Diez, Maria Alyana A."
"Agod, Joena Marie M.","Law-Ay, Sadie D."
"Agod, Joena Marie M.","Fermil, Florie Ann L."
"Agod, Joena Marie M.","Gallano, Gerry Louis O."
"Agod, Joena Marie M.","Alfeche, Aivie V."
"Agod, Joena Marie M.","Monreal, Mecah Ellah"
"Agod, Joena Marie M.","Albite, Carlo Jay"
"Law-Ay, Sadie D.","Cantere, Bonita"
"Law-Ay, Sadie D.","Fermil, Florie Ann L."
"Law-Ay, Sadie D.","Bernaldez, Edison"
"Law-Ay, Sadie D.","Lanoy, Junry"
"Cantere, Bonita","Fermil, Florie Ann L."
"Cantere, Bonita","Bernaldez, Edison"
"Cantere, Bonita","Lanoy, Junry"
"Fermil, Florie Ann L.","Bernaldez, Edison"
"Fermil, Florie Ann L.","Lanoy, Junry"
"Fermil, Florie Ann L.","Pelone, Boyeth C."
"Bernaldez, Edison","Lanoy, Junry"
"Besas, Jesebel R.","Micabani, Neal Reggie"
"Besas, Jesebel R.","Torrejos, Sevetrim B."
"Besas, Jesebel R.","Esprela, Liezel T."
"Besas, Jesebel R.","Rodriguez, T."
"Micabani, Neal Reggie","Torrejos, Sevetrim B."
"Micabani, Neal Reggie","Esprela, Liezel T."
"Micabani, Neal Reggie","Rodriguez, T."
"Torrejos, Sevetrim B.","Esprela, Liezel T."
"Torrejos, Sevetrim B.","Rodriguez, T."
"Tejada, Jonilyn A.","Edullantes, Christine Mae A."
"Tejada, Jonilyn A.","Gameng, A."
"Tejada, Jonilyn A.","Gamao, Ariel O."
"Edullantes, Christine Mae A.","Gumaano, Girley S."
"Edullantes, Christine Mae A.","Alipoyo, Joan Cristin E."
"Edullantes, Christine Mae A.","Tejada, Rosie Lynn P."
"Gamao, Ariel O.","Cutad, Reir Erlinda"
"Gamao, Ariel O.","Gameng, A."
"Gumaano, Girley S.","Alipoyo, Joan Cristin E."
"Gumaano, Girley S.","Tejada, Rosie Lynn P."
"Alipoyo, Joan Cristin E.","Tejada, Rosie Lynn P."
"Tejada, Rosie Lynn P.","Delima, Shamae Ria R."
"Delima, Shamae Ria R.","Mondigo, Lord Martino S."
"Manseguiao, Mark Ronalds S.","Lagare, Nickel Jean S."
"Gallano, Gerry Louis O.","Alfeche, Aivie V."
"Gallano, Gerry Louis O.","Monreal, Mecah Ellah"
"Gallano, Gerry Louis O.","Albite, Carlo Jay"
"Alfeche, Aivie V.","Monreal, Mecah Ellah"
"Alfeche, Aivie V.","Albite, Carlo Jay"
"Monreal, Mecah Ellah","Albite, Carlo Jay"
"Esprela, Liezel T.","Rodriguez, T."
"Lopez, Xavier N.","Nguyen, Minh Phuong"
"Lopez, Xavier N.","Vo, Dieu Linh"
"Lopez, Xavier N.","Tran, Thu Trang"
